"Year","Month","Days Since Sept 3rd 2000","#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
2000,October,50,103,Texas Stadium,outdoors,astroturf,2,2,70,100,10,0
2000,October,50,104,Arrowhead Stadium,outdoors,grass,2,3,64,90,14,0
2000,October,50,105,Ericsson Stadium,outdoors,grass,3,3,76,48,7,0
2000,October,50,107,PSINet Stadium,outdoors,grass,2,2,64,0,10,0
2000,October,50,108,Veterans Stadium,outdoors,astroturf,5,5,59,51,10,0
2000,October,50,110,Three Rivers Stadium,outdoors,astroturf,5,6,75,0,0,0
2000,October,50,111,Network Associates Coliseum,outdoors,grass,2,3,70,18,31,0
2000,October,50,112,Alltel Stadium,outdoors,grass,3,3,79,0,15,0
2000,October,51,113,Giants Stadium,outdoors,grass,5,6,51,96,3,0
2000,October,57,114,Ralph Wilson Stadium,outdoors,astroturf,5,6,46,41,6,0
2000,October,57,115,Raymond James Stadium,outdoors,grass,4,4,82,74,7,0
2000,October,57,117,Pro Player Stadium,outdoors,grass,2,3,81,50,13,0
2000,October,57,119,Cleveland Browns Stadium,outdoors,grass,2,2,50,0,5,0
2000,October,57,121,Sun Devil Stadium,outdoors,grass,1,4,70,49,9,0
2000,October,57,122,3Com Park,outdoors,grass,3,5,60,65,13,0
2000,October,57,124,Texas Stadium,outdoors,astroturf,2,3,72,90,10,0
2000,October,57,125,Husky Stadium,outdoors,fieldturf,3,3,52,80,5,0
2000,October,57,126,Qualcomm Stadium,outdoors,grass,5,7,63,82,8,0
2000,October,58,127,FedExField,outdoors,grass,2,2,54,38,9,0
2000,November,63,130,Soldier Field,outdoors,grass,3,3,57,40,12,0
2000,November,63,132,Foxboro Stadium,outdoors,grass,5,5,46,95,20,0
2000,November,63,133,Paul Brown Stadium,outdoors,grass,2,2,57,56,5,0
2000,November,63,134,Cleveland Browns Stadium,outdoors,grass,2,2,49,0,6,0
2000,November,63,135,Adelphia Coliseum,outdoors,grass,3,4,56,64,9,0
2000,November,63,136,Veterans Stadium,outdoors,astroturf,5,6,52,53,18,0
2000,November,63,137,Network Associates Coliseum,outdoors,grass,1,2,66,77,7,0
2000,November,63,138,Sun Devil Stadium,outdoors,grass,4,7,65,52,8,0
2000,November,63,139,Giants Stadium,outdoors,grass,6,6,51,50,20,0
2000,November,64,142,Lambeau Field,outdoors,grass,4,4,50,77,19,0
2000,November,70,143,Texas Stadium,outdoors,astroturf,5,8,50,93,15,0
2000,November,70,146,Three Rivers Stadium,outdoors,astroturf,7,8,47,82,7,0
2000,November,70,147,Ralph Wilson Stadium,outdoors,astroturf,3,4,40,82,10,0
2000,November,70,148,Ericsson Stadium,outdoors,grass,3,4,57,48,3,0
2000,November,70,149,Alltel Stadium,outdoors,grass,0,0,69,0,5,0
2000,November,70,150,Cleveland Browns Stadium,outdoors,grass,5,5,44,0,6,0
2000,November,70,151,Adelphia Coliseum,outdoors,grass,2,3,56,61,3,0
2000,November,70,152,3Com Park,outdoors,grass,0,2,54,61,0,0
2000,November,70,153,Qualcomm Stadium,outdoors,grass,1,2,63,69,7,0
2000,November,70,154,Giants Stadium,outdoors,grass,2,3,54,62,8,0
2000,November,70,155,Raymond James Stadium,outdoors,grass,5,6,75,51,7,0
2000,November,71,157,Mile High Stadium,outdoors,grass,3,3,20,37,3,20
2000,November,77,158,Arrowhead Stadium,outdoors,grass,1,2,46,52,15,0
2000,November,77,160,Lambeau Field,outdoors,grass,2,3,27,93,8,16
2000,November,77,162,Foxboro Stadium,outdoors,grass,5,6,47,0,15,0
2000,November,77,163,Veterans Stadium,outdoors,astroturf,3,3,39,55,10,26
2000,November,77,164,Giants Stadium,outdoors,grass,1,2,40,58,9,29
2000,November,77,166,Soldier Field,outdoors,grass,3,4,37,64,15,16
2000,November,77,167,Mile High Stadium,outdoors,grass,4,5,39,49,13,23
2000,November,77,168,Pro Player Stadium,outdoors,grass,3,3,83,63,12,0
2000,November,77,169,PSINet Stadium,outdoors,grass,2,4,43,49,3,0
2000,November,77,170,3Com Park,outdoors,grass,5,5,57,60,3,0
2000,November,77,171,Three Rivers Stadium,outdoors,astroturf,3,4,35,45,6,0
2000,November,81,174,Texas Stadium,outdoors,astroturf,5,6,55,93,0,0
2000,November,84,175,Raymond James Stadium,outdoors,grass,2,3,67,95,5,0
