"#","Statium","Roof Type","Surface Type","Field Goals Made","Field Goals Missed","Temperture","Realtive Humitity","Wind Speed","Wind Chill"
31,Cleveland Browns Stadium,outdoors,grass,5,5,67,50,12,0
32,Lambeau Field,outdoors,grass,3,4,67,60,9,0
33,Alltel Stadium,outdoors,grass,2,5,71,0,5,0
34,TWA Dome,dome,astroturf,3,3,N/A,N/A,N/A,N/A
35,Giants Stadium,outdoors,grass,2,4,68,74,12,0
36,Pontiac Silverdome,dome,astroturf,2,4,N/A,N/A,N/A,N/A
37,Soldier Field,outdoors,grass,0,4,79,40,8,0
38,Arrowhead Stadium,outdoors,grass,1,2,88,26,0,0
39,Network Associates Coliseum,outdoors,grass,5,6,79,55,9,0
40,Foxboro Stadium,outdoors,grass,0,1,70,0,15,0
41,Husky Stadium,outdoors,fieldturf,3,4,68,80,3,0
42,Pro Player Stadium,outdoors,grass,4,5,80,81,10,0
43,FedExField,outdoors,grass,2,2,66,65,8,0
44,Three Rivers Stadium,outdoors,astroturf,5,6,61,0,16,0
45,Georgia Dome,dome,astroturf,4,4,N/A,N/A,N/A,N/A
46,Soldier Field,outdoors,grass,0,1,58,86,12,0
47,Louisiana Superdome,dome,astroturf,0,0,N/A,N/A,N/A,N/A
